error_factor	capacity_factor	qualitative_supraadditive	collapsed_both	collapsed_error_only	collapsed_capacity_only	interaction
1.8242687073822879	75.16960157530129	False	False	False	False	0.06501645920200083
1.8242687073822879	91.41970126681093	False	False	False	False	0.07403712651536898
1.8242687073822879	111.18273350618666	False	False	False	False	0.08289100037583275
1.8242687073822879	135.21812102437377	False	False	False	False	0.09138319023337438
1.8242687073822879	164.44945790386396	False	False	False	False	0.09935815030009199
1.8242687073822879	200.0	False	False	False	False	0.10670575208495392
2.2186375444894955	1.5	False	False	False	False	0.0002488995411393802
2.2186375444894955	1.8242687073822879	False	False	False	False	0.0004097025869409521
2.2186375444894955	2.2186375444894955	False	False	False	False	0.0006083154204998831
2.2186375444894955	2.6982606969571097	False	False	False	False	0.0008597552775795325
2.2186375444894955	3.2815683692122515	False	False	False	False	0.0011892073753079213
2.2186375444894955	3.9909749913929575	False	False	False	False	0.0016386907349745794
2.2186375444894955	4.853740525828978	False	False	False	False	0.0022759565586913943
2.2186375444894955	5.90301797001537	False	False	False	False	0.003204168486794945
2.2186375444894955	7.179127307876238	False	False	False	False	0.004569070920217078
2.2186375444894955	8.731104862714846	False	False	False	False	0.00655932406837989
2.2186375444894955	10.618587587949342	False	False	False	False	0.009397064740236827
2.2186375444894955	12.914104702195969	False	False	False	False	0.013319582713863465
2.2186375444894955	15.705864728049711	False	False	False	False	0.018556642948819313
2.2186375444894955	19.101145030506867	False	False	False	False	0.025308404992795408
2.2186375444894955	23.23041410288293	False	False	False	False	0.033726155959018955
2.2186375444894955	28.252345004947657	False	False	False	False	0.043895357655625133
2.2186375444894955	34.35991260179622	False	False	False	False	0.05582035866130575
2.2186375444894955	41.787808898564755	False	False	False	False	0.06941212056075718
2.2186375444894955	50.82146141581522	False	False	False	False	0.08448229074914604
2.2186375444894955	61.80800114953867	False	False	False	False	0.10074728077750494
2.2186375444894955	75.16960157530129	False	False	False	False	0.11784441974667659
2.2186375444894955	91.41970126681093	False	False	False	False	0.13535944618769924
2.2186375444894955	111.18273350618666	False	False	False	False	0.15286163035906375
2.2186375444894955	135.21812102437377	False	False	False	False	0.1699407112586988
2.2186375444894955	164.44945790386396	False	False	False	False	0.18623932937815413
2.2186375444894955	200.0	False	False	False	False	0.2014759181215231
2.6982606969571097	1.5	False	False	False	False	0.00035147519884914935
2.6982606969571097	1.8242687073822879	False	False	False	False	0.0005817479838217121
2.6982606969571097	2.2186375444894955	False	False	False	False	0.0008708500998673152
2.6982606969571097	2.6982606969571097	False	False	False	False	0.0012452504621094374
2.6982606969571097	3.2815683692122515	False	False	False	False	0.001749733679978771
2.6982606969571097	3.9909749913929575	False	False	False	False	0.0024587162150069286
2.6982606969571097	4.853740525828978	False	False	False	False	0.003490605643130529
2.6982606969571097	5.90301797001537	False	False	False	False	0.005022353038697913
2.6982606969571097	7.179127307876238	False	False	False	False	0.007298991919985953
2.6982606969571097	8.731104862714846	False	False	False	False	0.010632676183960132
