alpha	R	throughput	eps	accuracy	j	j_crit	j_over_jcrit	on_front
0.04	0.3872619047619047	0.058738095238095256	0.8869204367171575	-0.8869204367171575	0.0182336059781769	0.7279878774416804	0.02504657913021032	False
0.04	0.40738095238095234	0.03861904761904761	0.8869204367171575	-0.8869204367171575	0.011988207902960242	0.7683368338230746	0.015602802540793943	False
0.04	0.42749999999999994	0.018500000000000016	0.8869204367171575	-0.8869204367171575	0.005742809827743599	0.8086353365574098	0.00710185366396721	False
0.08	0.08547619047619047	0.35652380952380947	0.7866278610665534	-0.7866278610665534	0.09815804659675473	0.12689615129660622	0.7735305255028638	False
0.08	0.10559523809523809	0.3364047619047619	0.7866278610665534	-0.7866278610665534	0.09261887540841109	0.16491548047478125	0.5616141986293052	False
0.08	0.1257142857142857	0.3162857142857143	0.7866278610665534	-0.7866278610665534	0.08707970422006744	0.20380262851831912	0.4272746865590114	False
0.08	0.14583333333333331	0.29616666666666663	0.7866278610665534	-0.7866278610665534	0.08154053303172379	0.24327266495805228	0.33518164914164894	False
0.08	0.16595238095238093	0.276047619047619	0.7866278610665534	-0.7866278610665534	0.07600136184338015	0.28313917646107756	0.2684240407608442	False
0.08	0.18607142857142855	0.2559285714285714	0.7866278610665534	-0.7866278610665534	0.0704621906550365	0.32327512167157857	0.2179635422939239	False
0.08	0.20619047619047617	0.23580952380952377	0.7866278610665534	-0.7866278610665534	0.06492301946669286	0.3635913152033327	0.17856042416850823	False
0.08	0.2263095238095238	0.21569047619047615	0.7866278610665534	-0.7866278610665534	0.059383848278349215	0.4040237759613656	0.14698107342085664	False
0.08	0.24642857142857139	0.19557142857142856	0.7866278610665534	-0.7866278610665534	0.05384467709000557	0.4445258882626736	0.12112832685728386	False
0.08	0.26654761904761903	0.17545238095238092	0.7866278610665534	-0.7866278610665534	0.04830550590166192	0.4850633369835424	0.09958597613676348	False
0.08	0.2866666666666666	0.15533333333333332	0.7866278610665534	-0.7866278610665534	0.04276633471331828	0.5256107202753384	0.08136503511746367	False
0.08	0.3067857142857143	0.13521428571428568	0.7866278610665534	-0.7866278610665534	0.03722716352497463	0.5661492176490285	0.06575503836172882	False
0.08	0.32690476190476186	0.11509523809523808	0.7866278610665534	-0.7866278610665534	0.031687992336630985	0.6066649443412278	0.052233102690712914	False
0.08	0.34702380952380946	0.09497619047619049	0.7866278610665534	-0.7866278610665534	0.026148821148287347	0.6471477647032196	0.0404062604778974	False
0.08	0.3671428571428571	0.07485714285714284	0.7866278610665534	-0.7866278610665534	0.020609649959943695	0.6875904201676329	0.029973730516662973	False
0.08	0.3872619047619047	0.05473809523809525	0.7866278610665534	-0.7866278610665534	0.015070478771600053	0.7279878774416804	0.02070155182330953	False
0.08	0.40738095238095234	0.034619047619047605	0.7866278610665534	-0.7866278610665534	0.0095313075832564	0.7683368338230746	0.012405116042440288	False
0.08	0.42749999999999994	0.014500000000000013	0.7866278610665534	-0.7866278610665534	0.003992136394912762	0.8086353365574098	0.004936880957872086	False
0.12	0.08547619047619047	0.35252380952380946	0.697676326071031	-0.697676326071031	0.08608163069839736	0.12689615129660622	0.6783628173023997	False
0.12	0.10559523809523809	0.33240476190476187	0.697676326071031	-0.697676326071031	0.08116882656898053	0.16491548047478125	0.492184398549491	False
0.12	0.1257142857142857	0.3122857142857143	0.697676326071031	-0.697676326071031	0.07625602243956368	0.20380262851831912	0.37416603992773967	False
0.12	0.14583333333333331	0.29216666666666663	0.697676326071031	-0.697676326071031	0.07134321831014684	0.24327266495805228	0.29326442542341785	False
0.12	0.16595238095238093	0.272047619047619	0.697676326071031	-0.697676326071031	0.06643041418073	0.28313917646107756	0.23462106166668892	False
0.12	0.18607142857142855	0.2519285714285714	0.697676326071031	-0.697676326071031	0.06151761005131314	0.32327512167157857	0.19029490959038312	False
0.12	0.20619047619047617	0.23180952380952377	0.697676326071031	-0.697676326071031	0.05660480592189631	0.3635913152033327	0.1556825027304103	False
0.12	0.2263095238095238	0.21169047619047615	0.697676326071031	-0.697676326071031	0.051692001792479465	0.4040237759613656	0.1279429698647796	False
0.12	0.24642857142857139	0.19157142857142856	0.697676326071031	-0.697676326071031	0.04677919766306262	0.4445258882626736	0.10523391077601413	False
0.12	0.26654761904761903	0.1714523809523809	0.697676326071031	-0.697676326071031	0.041866393533645775	0.4850633369835424	0.08631118936755727	False
0.12	0.2866666666666666	0.15133333333333332	0.697676326071031	-0.697676326071031	0.03695358940422894	0.5256107202753384	0.0703060040040108	False
0.12	0.3067857142857143	0.13121428571428567	0.697676326071031	-0.697676326071031	0.032040785274812085	0.5661492176490285	0.056594241016288134	False
0.12	0.32690476190476186	0.11109523809523808	0.697676326071031	-0.697676326071031	0.02712798114539525	0.6066649443412278	0.04471657938774309	False
0.12	0.34702380952380946	0.09097619047619049	0.697676326071031	-0.697676326071031	0.022215177015978416	0.6471477647032196	0.03432782778159829	False
0.12	0.3671428571428571	0.07085714285714284	0.697676326071031	-0.697676326071031	0.017302372886561564	0.6875904201676329	0.025163778288742424	False
0.12	0.3872619047619047	0.05073809523809525	0.697676326071031	-0.697676326071031	0.012389568757144727	0.7279878774416804	0.017018921799473598	False
0.12	0.40738095238095234	0.0306190476190476	0.697676326071031	-0.697676326071031	0.007476764627727877	0.7683368338230746	0.009731102686467789	False
0.12	0.42749999999999994	0.01050000000000001	0.697676326071031	-0.697676326071031	0.002563960498311041	0.8086353365574098	0.0031707252730588656	False
