name	ok	n_turns	j_crit	j_turn	ratio
nu=1.587,chi=0.7	True	1	0.11156102029447819	0.11120409558888789	0.9968006324731689
nu=1.587,chi=0.767	True	1	0.09832707243761428	0.09817949399800134	0.9984991067469585
nu=1.587,chi=0.833	True	1	0.08509532139404247	0.0850522260260007	0.9994935636021373
nu=1.587,chi=0.9	True	0	0.07189437376191016		
nu=2.179,chi=0.1	True	1	0.22787546187008903	0.2243556705779359	0.9845538819174846
nu=2.179,chi=0.167	True	1	0.2142368691744547	0.21107325964241144	0.985233122831593
nu=2.179,chi=0.233	True	1	0.20053997093105688	0.19773212742530027	0.9859985842586867
nu=2.179,chi=0.3	True	1	0.18678504745482452	0.18431264065114827	0.9867633580023357
nu=2.179,chi=0.367	True	1	0.17297330120860346	0.1708299274243039	0.9876086438235072
nu=2.179,chi=0.433	True	1	0.15910621950958273	0.15728990558419306	0.9885842682266719
nu=2.179,chi=0.5	True	1	0.1451866587089889	0.14369605556614373	0.9897331947983394
nu=2.179,chi=0.567	True	1	0.1312187853897419	0.13005116828217025	0.9911017534257489
nu=2.179,chi=0.633	True	1	0.1172090991171845	0.11636091923571389	0.9927635321160296
nu=2.179,chi=0.7	True	1	0.10316765090017192	0.10260238777114854	0.9945209266267936
nu=2.179,chi=0.767	True	1	0.08910996290679163	0.08878426994364405	0.9963450443415822
nu=2.179,chi=0.833	True	1	0.07506107837622637	0.07495305225402814	0.9985608237380127
nu=2.179,chi=0.9	True	0	0.06106275674556044		
nu=2.991,chi=0.1	True	1	0.2267044453971418	0.22310067669842654	0.9841036699020076
nu=2.991,chi=0.167	True	1	0.21228573568311523	0.20898489854184515	0.9844509706191595
nu=2.991,chi=0.233	True	1	0.19781012199691883	0.1948147303903838	0.9848572379598366
nu=2.991,chi=0.3	True	1	0.18327900591410218	0.18059270172653274	0.985343088401361
nu=2.991,chi=0.367	True	1	0.1686946175797682	0.16632165876584523	0.9859334052978845
nu=2.991,chi=0.433	True	1	0.1540601902311709	0.15199627575568353	0.9866031940348092
nu=2.991,chi=0.5	True	1	0.1393805255574045	0.13761980563974138	0.987367532798275
